N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"68,200","2,000",+3.02%,100,"4,071,392","5,969,783",52.08,"13,924,400",10.29,17.07,
2,LG에너지솔루션,"553,000","9,000",-1.60%,500,"1,294,020","234,000",5.37,"92,297",124.27,5.75,
3,SK하이닉스,"97,500","3,900",+4.17%,"5,000","709,802","728,002",50.09,"3,561,843",-30.47,3.56,
4,삼성바이오로직스,"780,000",0,0.00%,"2,500","555,157","71,174",10.68,"21,134",68.36,11.42,
5,LG화학,"701,000","8,000",-1.13%,"5,000","494,852","70,592",48.21,"105,437",33.64,6.95,
6,삼성전자우,"57,900","1,600",+2.84%,100,"476,451","822,887",72.29,"1,139,655",8.74,N/A,
7,삼성SDI,"692,000",0,0.00%,"5,000","475,851","68,765",49.23,"121,272",24.95,12.52,
8,현대차,"205,500","1,000",-0.48%,"5,000","434,697","211,532",32.04,"342,547",7.73,9.36,
9,기아,"88,600","1,300",-1.45%,"5,000","359,152","405,363",37.31,"733,448",6.64,14.57,
10,NAVER,"215,500","3,000",+1.41%,100,"353,526","164,049",48.21,"564,557",54.89,3.29,
11,POSCO홀딩스,"365,500","7,500",-2.01%,"5,000","309,108","84,571",39.99,"425,615",10.03,6.11,
12,카카오,"57,700",500,+0.87%,100,"256,156","443,944",26.16,"890,659",19.00,13.54,
13,셀트리온,"172,900",800,+0.46%,"1,000","253,110","146,391",20.59,"217,862",43.27,13.35,
14,포스코퓨처엠,"312,500","5,500",-1.73%,500,"242,073","77,463",6.94,"485,583",204.65,4.87,
15,현대모비스,"226,500","2,500",-1.09%,"5,000","213,556","94,285",37.33,"110,848",8.61,6.80,
16,삼성물산,"111,500","1,200",+1.09%,100,"206,935","185,592",18.16,"138,628",10.28,7.16,
17,KB금융,"49,450",50,-0.10%,"5,000","199,536","403,511",72.75,"600,869",4.63,9.17,
18,LG전자,"113,800",800,+0.71%,"5,000","186,231","163,648",29.25,"275,070",17.20,6.61,
19,신한지주,"35,150",250,+0.72%,"5,000","183,691","522,590",59.76,"620,832",4.02,9.70,
20,SK이노베이션,"178,700","3,700",-2.03%,"5,000","165,236","92,466",24.40,"314,940",10.67,8.49,
21,LG,"89,100",300,-0.34%,"5,000","140,155","157,301",36.00,"120,028",7.22,8.48,
22,삼성생명,"67,800","1,200",+1.80%,500,"135,600","200,000",15.95,"131,157",8.56,5.73,
23,하나금융지주,"42,050",200,+0.48%,"5,000","124,427","295,903",70.51,"378,413",3.52,10.06,
24,SK,"168,400","1,400",+0.84%,200,"123,266","73,198",23.27,"101,065",11.45,5.13,
25,카카오뱅크,"25,100",150,+0.60%,"5,000","119,669","476,767",13.98,"569,416",45.39,4.68,
26,한국전력,"18,370",210,+1.16%,"5,000","117,929","641,964",14.44,"672,794",-0.48,-46.91,
27,하이브,"279,500","6,500",-2.27%,500,"116,397","41,645",18.23,"160,707",220.95,1.87,
28,KT&G,"84,400",500,+0.60%,"5,000","115,875","137,292",44.34,"137,225",11.41,11.00,
29,삼성화재,"236,000","6,000",+2.61%,500,"111,805","47,375",52.43,"51,084",9.32,9.70,
30,SK텔레콤,"50,100",300,+0.60%,100,"109,635","218,833",44.39,"243,578",11.05,7.97,
31,삼성전기,"142,400","1,000",+0.71%,"5,000","106,364","74,694",29.98,"274,261",11.27,13.76,
32,두산에너빌리티,"15,960",180,+1.14%,"5,000","102,234","640,561",11.84,"2,221,995",-15.29,-11.70,
33,HD현대중공업,"112,500",900,+0.81%,"5,000","99,870","88,773",6.65,"66,098",-28.37,-6.47,
34,크래프톤,"201,000","1,400",+0.70%,100,"98,967","49,237",30.28,"81,669",19.72,10.29,
35,고려아연,"493,000","1,500",+0.31%,"5,000","97,925","19,863",21.48,"18,963",12.15,9.38,
36,메리츠금융지주,"45,900","1,150",+2.57%,500,"95,572","208,218",16.29,"556,583",5.63,30.32,
37,삼성에스디에스,"121,300","1,400",+1.17%,500,"93,859","77,378",15.73,"80,651",8.53,14.23,
38,HMM,"18,380",100,+0.55%,"5,000","89,885","489,039",10.96,"935,087",0.89,64.98,
39,LG생활건강,"569,000","6,000",+1.07%,"5,000","88,868","15,618",34.52,"31,589",42.62,4.41,
40,우리금융지주,"12,030",170,+1.43%,"5,000","87,586","728,061",39.47,"1,587,034",2.79,11.51,
41,S-Oil,"74,400",100,+0.13%,"2,500","83,762","112,583",79.09,"150,203",5.79,27.20,
42,KT,"31,550",300,+0.96%,"5,000","82,381","261,112",40.47,"600,883",6.53,7.99,
43,대한항공,"22,300",0,0.00%,"5,000","82,113","368,221",15.04,"571,469",5.70,21.95,
44,엔씨소프트,"373,000","2,000",+0.54%,500,"81,888","21,954",44.79,"40,175",18.79,13.73,
45,기업은행,"10,210",50,+0.49%,"5,000","81,417","797,426",13.90,"449,706",2.94,9.85,
46,한화솔루션,"46,350","1,050",-2.22%,"5,000","79,672","171,893",24.97,"968,710",23.67,4.21,
47,카카오페이,"56,900",900,+1.61%,500,"76,261","134,026",39.90,"119,306",139.80,3.08,
48,롯데케미칼,"176,300","2,400",-1.34%,"5,000","75,413","42,775",23.99,"41,581",103.16,0.43,
49,LG이노텍,"292,500","4,500",+1.56%,"5,000","69,226","23,667",20.96,"162,378",7.07,25.85,
50,아모레퍼시픽,"116,100",800,+0.69%,500,"67,910","58,493",24.78,"153,415",59.63,2.81,
